atype,phase_of_flt,state,height,speed,effect,sky,species,birds_struck,month_of_the_year,season
MD-83,Take-off run,East North Central,0.0,120.0,None,Overcast,AMERICAN KESTREL,1,August,Summer
B-727,Landing Roll,East North Central,0.0,105.0,None,Overcast,WHITE-TAILED DEER,1,January,Winter
EMB-120,Climb,Pacific,200.0,145.0,Precautionary Landing,No Cloud,DUCKS,2-10,November,Fall
MD-80,Climb,South Atlantic,50.0,140.0,Precautionary Landing,Some Cloud,GULLS,2-10,October,Fall
MD-90-30,Descent,East South Central,2100.0,230.0,None,No Cloud,UNKNOWN BIRD,2-10,October,Fall
B-737-300,Approach,South Atlantic,1200.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-737-200,Climb,New England,2.0,150.0,Precautionary Landing,Some Cloud,UPLAND SANDPIPER,2-10,August,Summer
BA-31 JETSTR,Climb,Pacific,1500.0,160.0,Precautionary Landing,Overcast,UNKNOWN BIRD - MEDIUM,1,April,Spring
B-737-300,Descent,West North Central,1900.0,230.0,None,Overcast,GULLS,2-10,May,Spring
B-727,Approach,East South Central,300.0,120.0,None,No Cloud,ROCK PIGEON,2-10,September,Fall
C-152,Landing Roll,West North Central,0.0,45.0,None,Some Cloud,HAWKS,1,August,Summer
AEROS 350,En Route,Pacific,2000.0,90.0,Precautionary Landing,Some Cloud,GREAT FRIGATEBIRD,1,February,Winter
DHC8 DASH 8,Approach,Pacific,90.0,98.0,None,No Cloud,OWLS,1,September,Fall
B-737-500,Take-off run,West North Central,0.0,120.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-757-200,Take-off run,New England,0.0,120.0,Precautionary Landing,Some Cloud,GREAT BLUE HERON,2-10,October,Fall
B-727,Landing Roll,Pacific,0.0,105.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,October,Fall
BA-41 JETSTR,Take-off run,West North Central,0.0,120.0,Aborted Take-off,Some Cloud,UNKNOWN BIRD - SMALL,2-10,April,Spring
BA-146-200,Climb,East North Central,75.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1,July,Summer
DC-9-10,Take-off run,East North Central,0.0,122.0,Precautionary Landing,Overcast,UNKNOWN BIRD - MEDIUM,1,December,Winter
B-737-200,Landing Roll,Pacific,0.0,110.0,None,No Cloud,SPARROWS,2-10,October,Fall
DC-9-30,Approach,East North Central,200.0,135.0,None,No Cloud,CANADA GOOSE,2-10,April,Spring
B-737-400,Landing Roll,South Atlantic,0.0,80.0,None,No Cloud,BLACKBIRDS,1,September,Fall
MD-88,Landing Roll,West South Central,0.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10,February,Winter
FK-100,Approach,West South Central,40.0,140.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,February,Winter
B-737-400,Take-off run,Unknown,0.0,135.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,November,Fall
EMB-120,Take-off run,East South Central,0.0,120.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,June,Summer
MD-80,Approach,South Atlantic,1000.0,160.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,February,Winter
UNKNOWN,Climb,West South Central,100.0,150.0,Other,Some Cloud,UNKNOWN BIRD,1,August,Summer
BE-1900,Climb,Middle Atlantic,50.0,100.0,None,No Cloud,GULLS,1,April,Spring
FK-100,Climb,South Atlantic,50.0,150.0,None,No Cloud,EUROPEAN STARLING,1,August,Summer
SAAB-340,Approach,East North Central,300.0,135.0,None,Some Cloud,MOURNING DOVE,2-10,August,Summer
B-767-300,Approach,East North Central,1000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
C-320,Climb,Mountain,500.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
UNKNOWN,Climb,East North Central,200.0,150.0,None,No Cloud,UNKNOWN BIRD,1,June,Summer
BE-76  DUCHESS,Approach,South Atlantic,700.0,100.0,None,Some Cloud,SANDHILL CRANE,1,May,Spring
BE-1900,Approach,Middle Atlantic,3.0,110.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-757-200,Approach,Middle Atlantic,35.0,130.0,None,Some Cloud,HERONS,1,August,Summer
B-727-200,Landing Roll,West South Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
DC-10-30,Climb,West South Central,3000.0,220.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,2-10,November,Fall
STINSON 108,Climb,Mountain,200.0,150.0,Other,Some Cloud,MULE DEER,0,September,Fall
C-208,Approach,East North Central,100.0,120.0,None,Some Cloud,ROCK PIGEON,2-10,July,Summer
DC-9-40,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,April,Spring
MD-82,Take-off run,West South Central,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
MD-88,Landing Roll,East South Central,0.0,105.0,None,No Cloud,RED-TAILED HAWK,1,August,Summer
B-737,Take-off run,South Atlantic,0.0,90.0,Aborted Take-off,Some Cloud,CANADA GOOSE,1,July,Summer
B-757-200,Landing Roll,South Atlantic,0.0,100.0,None,No Cloud,EUROPEAN STARLING,2-10,November,Fall
C-402,Approach,New England,50.0,90.0,None,No Cloud,CANADA GOOSE,1,September,Fall
B-757-200,Approach,East South Central,2300.0,140.0,None,Overcast,UNKNOWN BIRD - SMALL,1,June,Summer
RKWL SHRIKE,Take-off run,West South Central,0.0,120.0,None,Overcast,KILLDEER,2-10,January,Winter
C-340,Approach,East North Central,4000.0,160.0,None,Overcast,GULLS,1,September,Fall
DHC8 DASH 8,Climb,West North Central,500.0,135.0,Precautionary Landing,Overcast,UNKNOWN BIRD - LARGE,1,October,Fall
CITATION II,Landing Roll,East South Central,0.0,95.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
B-737-300,Climb,Pacific,100.0,150.0,None,No Cloud,ROCK PIGEON,1,September,Fall
MD-82,Take-off run,West South Central,0.0,160.0,None,Overcast,BLACKBIRDS,1,January,Winter
B-727-200,Take-off run,East North Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-727-200,Climb,West South Central,5800.0,225.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
MD-83,Take-off run,Pacific,0.0,60.0,Aborted Take-off,No Cloud,FINCHES,2-10,June,Summer
B-757-200,Approach,Pacific,200.0,140.0,None,No Cloud,GULLS,2-10,March,Spring
B-737-300,Approach,New England,20.0,135.0,None,No Cloud,GULLS,1,April,Spring
MD-82,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
L-1011,Take-off run,New England,0.0,130.0,Aborted Take-off,Some Cloud,DUCKS,2-10,May,Spring
BA-31 JETSTR,Take-off run,South Atlantic,0.0,90.0,Aborted Take-off,No Cloud,WOODPECKERS,1,July,Summer
B-737-200,Landing Roll,New England,0.0,110.0,None,No Cloud,GULLS,1,March,Spring
DC-8-63,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,March,Spring
LOCKHEED 382,Climb,Unknown,200.0,110.0,Engine Shut Down,No Cloud,GULLS,2-10,October,Fall
EMB-120,Climb,South Atlantic,300.0,150.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,October,Fall
MU2,Take-off run,East South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
DC-9,Take-off run,East North Central,0.0,150.0,None,No Cloud,EUROPEAN STARLING,1,June,Summer
C-208,Approach,Pacific,900.0,120.0,None,Some Cloud,UNKNOWN BIRD,1,January,Winter
MD-82,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
DC-9,Landing Roll,West North Central,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
DC-9-50,Landing Roll,Pacific,0.0,105.0,None,Some Cloud,UNKNOWN BIRD,2-10,October,Fall
UNKNOWN,En Route,West South Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
FK-100,Approach,West North Central,300.0,170.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-737-500,Landing Roll,Mountain,0.0,105.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
EMB-120,Approach,South Atlantic,2000.0,200.0,None,No Cloud,BLACKBIRDS,1,May,Spring
B-737,Approach,Pacific,1000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
B-737,Climb,Middle Atlantic,50.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,December,Winter
B-737,Approach,Pacific,1600.0,140.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,December,Winter
DHC8 DASH 8,Approach,South Atlantic,50.0,110.0,None,Overcast,CANADA GOOSE,2-10,September,Fall
B-737,Landing Roll,West South Central,0.0,105.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-737-300,Approach,West South Central,1000.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9,Take-off run,East North Central,0.0,120.0,None,Overcast,UNKNOWN BIRD,1,September,Fall
B-737-300,Approach,South Atlantic,200.0,140.0,None,Some Cloud,OWLS,1,December,Winter
DORNIER 328,Climb,East North Central,200.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
B-737-200,Climb,Pacific,50.0,130.0,None,Overcast,UNKNOWN BIRD,1,February,Winter
BE-300 KING,Climb,Pacific,100.0,120.0,Precautionary Landing,No Cloud,GULLS,1,June,Summer
EMB-120,Landing Roll,South Atlantic,0.0,105.0,None,Overcast,CANADA GOOSE,1,August,Summer
SAAB-340,Climb,New England,150.0,120.0,Precautionary Landing,Overcast,HAWKS,1,September,Fall
B-737-300,Descent,South Atlantic,300.0,210.0,None,Some Cloud,GULLS,1,March,Spring
DC-9,Climb,West South Central,200.0,150.0,Other,No Cloud,UNKNOWN BIRD,1,June,Summer
PA-36-375,En Route,South Atlantic,2500.0,130.0,Other,No Cloud,BLACKBIRDS,2-10,March,Spring
DC-8,Climb,West North Central,9000.0,150.0,None,No Cloud,UNKNOWN BIRD,1,March,Spring
EMB-120,Approach,South Atlantic,50.0,135.0,None,Some Cloud,DOVES,2-10,December,Winter
MD-82,Approach,West South Central,100.0,140.0,None,Overcast,BLACKBIRDS,1,July,Summer
UNKNOWN,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,HERRING GULL,2-10,October,Fall
BE-1900,Climb,Pacific,4000.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
DC-9,Landing Roll,Pacific,0.0,105.0,None,Some Cloud,ZEBRA DOVE,1,December,Winter
C-150,Climb,East North Central,35.0,60.0,None,Some Cloud,RING-BILLED GULL,1,October,Fall
CL-RJ100/200,Climb,East South Central,100.0,100.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-737,Landing Roll,Pacific,0.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,May,Spring
BA-ATP,Approach,East North Central,200.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
SHORTS 360,Approach,South Atlantic,1000.0,170.0,None,Some Cloud,VULTURES,1,March,Spring
B-727,Climb,East South Central,500.0,150.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-727-200,Climb,South Atlantic,10.0,160.0,None,Some Cloud,HAWKS,1,May,Spring
UNKNOWN,Descent,Pacific,4000.0,210.0,None,No Cloud,UNKNOWN BIRD,1,April,Spring
UNKNOWN,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-737-300,Take-off run,West South Central,0.0,120.0,Precautionary Landing,Overcast,UNKNOWN BIRD - MEDIUM,1,March,Spring
BE-1900,Landing Roll,New England,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,11-100,November,Fall
C-152,Climb,South Atlantic,900.0,80.0,Other,Some Cloud,VULTURES,1,October,Fall
CL-RJ100/200,Approach,Pacific,700.0,150.0,None,Overcast,UNKNOWN BIRD - LARGE,1,November,Fall
SAAB-340,Take-off run,Middle Atlantic,0.0,100.0,None,No Cloud,DUCKS,1,June,Summer
B-737-300,Approach,Middle Atlantic,40.0,135.0,None,Some Cloud,GULLS,2-10,August,Summer
B-737-200,Take-off run,South Atlantic,0.0,85.0,Aborted Take-off,Some Cloud,MOURNING DOVE,2-10,August,Summer
B-737-300,Approach,Pacific,2200.0,200.0,None,No Cloud,BLACKBIRDS,1,April,Spring
DC-9-50,Take-off run,Pacific,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
C-210 CENTUR,Approach,South Atlantic,20.0,110.0,None,No Cloud,OSPREY,1,October,Fall
C-310,Climb,East North Central,75.0,100.0,None,No Cloud,SANDPIPERS,2-10,July,Summer
C-402,Take-off run,East North Central,0.0,120.0,Aborted Take-off,No Cloud,WHITE-TAILED DEER,1,November,Fall
B-737-200,Take-off run,Pacific,0.0,110.0,None,Some Cloud,PACIFIC GOLDEN-PLOVER,1,October,Fall
DC-9-40,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,March,Spring
SABRLNR-65,Take-off run,Middle Atlantic,0.0,120.0,None,Overcast,SPARROWS,1,August,Summer
B-757-200,Climb,Middle Atlantic,150.0,150.0,None,Some Cloud,LAUGHING GULL,1,August,Summer
BA-41 JETSTR,En Route,Unknown,6000.0,178.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
CONVAIR 340,Approach,Pacific,75.0,120.0,None,No Cloud,SAVANNAH SPARROW,1,August,Summer
FK-100,Approach,Middle Atlantic,200.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-747,Take-off run,Pacific,0.0,120.0,Aborted Take-off,No Cloud,UNKNOWN BIRD - SMALL,2-10,October,Fall
PA-28,Descent,West South Central,2000.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-747-400,Approach,Pacific,130.0,145.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-747-400,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,LAUGHING GULL,1,August,Summer
HUGHES 500,Climb,Pacific,800.0,85.0,Precautionary Landing,Some Cloud,GULLS,1,April,Spring
DORNIER 328,Take-off run,South Atlantic,0.0,120.0,Aborted Take-off,No Cloud,WHITE-TAILED DEER,1,November,Fall
FK-28-1000,Take-off run,Pacific,0.0,80.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
B-757-200,Take-off run,Unknown,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,March,Spring
B-727-200,Approach,West South Central,4.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
MOONEY UNKN,Take-off run,South Atlantic,0.0,60.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
ATR-42,Approach,South Atlantic,500.0,140.0,None,No Cloud,GULLS,1,October,Fall
DC-9-30,Approach,West North Central,300.0,130.0,None,Overcast,DUCKS,1,October,Fall
B-737-200,Take-off run,Middle Atlantic,0.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,2-10,September,Fall
C-152,Approach,East North Central,5.0,55.0,Engine Shut Down,No Cloud,MALLARD,1,June,Summer
B-737-200,Landing Roll,Pacific,0.0,130.0,None,Some Cloud,COMMON MYNA,1,February,Winter
A-320,Descent,Pacific,9000.0,250.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
A-320,Approach,West North Central,1000.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
B-737,Climb,South Atlantic,100.0,150.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,August,Summer
PA-60 600,Take-off run,New England,0.0,120.0,None,Some Cloud,GULLS,2-10,September,Fall
BE-1900,Climb,Middle Atlantic,60.0,105.0,None,Overcast,GULLS,2-10,October,Fall
A-310,Climb,Middle Atlantic,3000.0,150.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,October,Fall
BE-1900,Landing Roll,South Atlantic,0.0,120.0,None,Some Cloud,GULLS,1,November,Fall
B-727-100,Climb,South Atlantic,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,November,Fall
FK-100,Approach,West South Central,10.0,130.0,None,Overcast,BLACKBIRDS,1,April,Spring
B-737-300,Climb,South Atlantic,50.0,160.0,None,Some Cloud,TURKEY VULTURE,1,July,Summer
BA-ATP,Approach,East North Central,500.0,120.0,None,Overcast,UNKNOWN BIRD - SMALL,1,September,Fall
BE-1900,Approach,Mountain,3500.0,190.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,January,Winter
B-737-300,Climb,Middle Atlantic,100.0,165.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
DC-9-30,Landing Roll,South Atlantic,0.0,130.0,None,Some Cloud,CATTLE EGRET,1,May,Spring
FK-100,Climb,East North Central,800.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,April,Spring
DC-9-80,Landing Roll,West South Central,0.0,100.0,None,Overcast,SPARROWS,1,February,Winter
B-737,Approach,West North Central,45.0,135.0,None,Some Cloud,EUROPEAN STARLING,1,July,Summer
DC-9,Take-off run,West North Central,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,August,Summer
B-737-300,Landing Roll,Mountain,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-727,Approach,Middle Atlantic,300.0,140.0,None,No Cloud,GULLS,1,May,Spring
CL-RJ100/200,Landing Roll,South Atlantic,0.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
BE-1900,Approach,East North Central,200.0,115.0,None,Overcast,GULLS,1,August,Summer
B-737-500,Climb,Mountain,1000.0,180.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,October,Fall
C-172,Climb,South Atlantic,200.0,82.0,Other,No Cloud,UNKNOWN BIRD - MEDIUM,1,April,Spring
B-737-200,Approach,Pacific,50.0,100.0,None,Some Cloud,OWLS,1,January,Winter
CL-RJ100/200,Approach,South Atlantic,100.0,140.0,None,Overcast,UNKNOWN BIRD - SMALL,1,January,Winter
B-737-500,Landing Roll,Pacific,0.0,135.0,None,No Cloud,YELLOW-BILLED MAGPIE,1,June,Summer
DC-10,Approach,East North Central,30.0,130.0,None,Some Cloud,SPARROWS,2-10,June,Summer
UNKNOWN,Descent,Pacific,5000.0,210.0,Other,No Cloud,UNKNOWN BIRD,2-10,October,Fall
B-737-300,Climb,South Atlantic,20.0,150.0,None,Overcast,RING-BILLED GULL,1,January,Winter
FK-100,Take-off run,South Atlantic,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,March,Spring
B-737-300,Take-off run,Pacific,0.0,120.0,None,Overcast,SPARROWS,1,August,Summer
B-737-400,Take-off run,Middle Atlantic,0.0,120.0,None,Overcast,UNKNOWN BIRD,1,August,Summer
FK-100,Approach,Middle Atlantic,5000.0,250.0,None,Overcast,UNKNOWN BIRD - LARGE,1,November,Fall
B-727,Approach,New England,200.0,125.0,None,No Cloud,EUROPEAN STARLING,1,September,Fall
DORNIER 328,Climb,New England,200.0,150.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,July,Summer
DORNIER 228,Take-off run,West South Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
DA-50 FALCON,Approach,Pacific,30.0,135.0,None,No Cloud,ROCK PIGEON,1,November,Fall
FK-100,Approach,West North Central,4000.0,200.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
DC-9-30,Landing Roll,New England,0.0,110.0,None,Some Cloud,EUROPEAN STARLING,11-100,June,Summer
B-727,Approach,South Atlantic,500.0,145.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
MD-82,Landing Roll,West South Central,0.0,125.0,None,Overcast,UNKNOWN BIRD - SMALL,1,September,Fall
MD-80,Approach,Pacific,100.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-727,Approach,South Atlantic,360.0,140.0,None,Overcast,GULLS,2-10,October,Fall
C-152,Landing Roll,Pacific,0.0,105.0,None,No Cloud,ROCK PIGEON,1,September,Fall
MD-82,Take-off run,Middle Atlantic,0.0,120.0,None,Overcast,GULLS,1,January,Winter
C-402,Climb,Pacific,50.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10,October,Fall
MD-83,Descent,East North Central,8000.0,210.0,Other,No Cloud,UNKNOWN BIRD - MEDIUM,2-10,October,Fall
B-737,Landing Roll,South Atlantic,0.0,105.0,None,Overcast,UNKNOWN BIRD - SMALL,1,March,Spring
DC-9,Approach,Pacific,10.0,120.0,Other,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
B-727,Approach,Unknown,400.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,October,Fall
BA-31 JETSTR,Climb,East North Central,200.0,150.0,Engine Shut Down,No Cloud,UNKNOWN BIRD,2-10,June,Summer
DC-9-30,Approach,West North Central,30.0,135.0,None,No Cloud,HAWKS,1,January,Winter
RKWL SHRIKE,Take-off run,East North Central,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-747-1/200,Take-off run,Unknown,0.0,125.0,Aborted Take-off,Some Cloud,UNKNOWN BIRD - SMALL,2-10,November,Fall
B-727,Approach,Mountain,500.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
EMB-120,Approach,South Atlantic,75.0,115.0,None,Some Cloud,ROCK PIGEON,1,June,Summer
FK-100,Descent,West South Central,4000.0,250.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
MD-80,Approach,Pacific,300.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,April,Spring
B-737-400,Climb,Pacific,200.0,150.0,None,No Cloud,HAWKS,1,April,Spring
MD-80,Approach,Pacific,3000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,April,Spring
B-727-200,Climb,Mountain,3500.0,150.0,Engine Shut Down,Some Cloud,CANADA GOOSE,2-10,May,Spring
B-737-200,Approach,West South Central,2000.0,170.0,None,Overcast,GULLS,1,April,Spring
CITATION II,Approach,New England,400.0,135.0,Other,No Cloud,GEESE,2-10,October,Fall
EMB-120,Landing Roll,East North Central,0.0,105.0,None,Some Cloud,MOURNING DOVE,1,November,Fall
FK-100,Approach,South Atlantic,1800.0,160.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-757-200,Climb,West North Central,100.0,160.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,June,Summer
C-172,Take-off run,South Atlantic,0.0,62.0,None,Overcast,DOVES,1,June,Summer
FK-100,Climb,Unknown,30.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-737,Climb,West South Central,200.0,150.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-747-400,Approach,Pacific,300.0,145.0,None,Overcast,DUCKS,2-10,March,Spring
BE-35,Approach,Pacific,1400.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,March,Spring
A-300,Climb,Middle Atlantic,3500.0,240.0,None,Overcast,GULLS,2-10,June,Summer
B-737-400,Take-off run,South Atlantic,0.0,110.0,None,Some Cloud,GULLS,1,August,Summer
ROBINSON R22,Climb,South Atlantic,600.0,60.0,None,Overcast,GULLS,1,December,Winter
DORNIER 228,Take-off run,New England,0.0,60.0,Aborted Take-off,Overcast,ROCK PIGEON,11-100,December,Winter
C-650,Approach,South Atlantic,10.0,130.0,None,Overcast,SPARROWS,1,April,Spring
B-737-500,Climb,West South Central,5000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-737-200,Climb,Middle Atlantic,100.0,130.0,Precautionary Landing,No Cloud,GULLS,2-10,August,Summer
B-737,Take-off run,South Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,January,Winter
ATR-72,Approach,West South Central,500.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
MD-88,Climb,Unknown,1000.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
BELL-407,Climb,West South Central,200.0,60.0,None,Overcast,GULLS,1,January,Winter
B-737-200,Landing Roll,Middle Atlantic,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
FK-28-4000,Approach,Pacific,2000.0,220.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,October,Fall
B-737-500,Approach,Mountain,300.0,135.0,Other,Some Cloud,UNKNOWN BIRD,1,July,Summer
DC-8-63,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
DC-9-50,Climb,Pacific,50.0,150.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
B-737,Approach,Pacific,1775.0,160.0,None,Overcast,"DUCKS, GEESE, SWANS",2-10,March,Spring
FK-100,Approach,South Atlantic,10.0,135.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
BE-99,Take-off run,West North Central,0.0,120.0,Aborted Take-off,Overcast,WHITE-TAILED DEER,1,November,Fall
SAAB-340,Landing Roll,Middle Atlantic,0.0,60.0,None,Some Cloud,MOURNING DOVE,1,April,Spring
B-757-200,Approach,West South Central,1500.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
B-727-200,Take-off run,Unknown,0.0,130.0,None,No Cloud,SWALLOWS,1,September,Fall
SAAB-340,Take-off run,West South Central,0.0,120.0,None,No Cloud,COYOTE,1,September,Fall
GULFAERO IV,Take-off run,South Atlantic,0.0,135.0,None,Some Cloud,RING-BILLED GULL,1,September,Fall
BE-24R SIERRA,Descent,East North Central,1500.0,110.0,None,Some Cloud,HAWKS,1,July,Summer
B-737-200,Climb,East North Central,800.0,140.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
C-172,En Route,Unknown,3500.0,100.0,None,Some Cloud,MALLARD,1,February,Winter
C-650,Approach,East South Central,600.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
MD-82,Climb,West South Central,50.0,180.0,Precautionary Landing,Overcast,BLACKBIRDS,Over 100,January,Winter
DC-9,Climb,West South Central,20.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
DC-10-40,Approach,Pacific,200.0,115.0,None,No Cloud,PACIFIC GOLDEN-PLOVER,1,October,Fall
MD-82,Landing Roll,Pacific,0.0,105.0,None,Overcast,BARN OWL,1,December,Winter
DC-8-61,Descent,Middle Atlantic,5500.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,March,Spring
B-737-200,Landing Roll,Pacific,0.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
EMB-120,Approach,Pacific,500.0,120.0,None,No Cloud,UNKNOWN BIRD,1,August,Summer
B-737,Climb,New England,200.0,150.0,Precautionary Landing,Overcast,GULLS,2-10,September,Fall
B-737-500,Approach,West South Central,1000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-767-300,Climb,New England,200.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,September,Fall
B-737-500,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD,1,August,Summer
PA-28,Climb,South Atlantic,100.0,75.0,None,No Cloud,CANADA GOOSE,2-10,May,Spring
