opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
AAL,AMERICAN AIRLINES,MD-80,,Approach,11/12/1996 0:00:00,TX,800.0,140.0,None,No Cloud,UNKNOWN BIRD,1
BUS,BUSINESS,B-757-200,NO DAMAGE.,Climb,8/31/1997 0:00:00,ME,100.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,CL-600,,Approach,8/7/1991 0:00:00,MN,100.0,118.0,None,No Cloud,CROWS,1
SWA,SOUTHWEST AIRLINES,B-737-300,"SUSPECT DUCK OR GOOSE. 90 DEGREE (?) TO FINAL IN CLOUDS, BIRD  STRUCK & DENTED RADOME. NO OTHER DAMAGE.",Descent,10/12/1997 0:00:00,OR,4000.0,220.0,None,Overcast,UNKNOWN BIRD - LARGE,1
DAL,DELTA AIR LINES,B-757-200,"PILOT REPTD STRIKING A BIRD ON FUSELAGE, NO APPARENT DAMAGE.",Take-off run,10/18/1997 0:00:00,LA,0.0,190.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737-300,"UNKN WHERE BIRD HIT A/C. ON APPCH, OVER DOWNTOWN DALLAS, FOR RWY  31L, DID ONE LEFT 360 DEGREE TURN BECAUSE OF BIRD STRIKE. NO  DAMAGE REPTD. NO ASSISTANCE REQD.",Approach,3/14/1997 0:00:00,TX,1500.0,150.0,Other,No Cloud,UNKNOWN BIRD,1
COA,CONTINENTAL AIRLINES,B-737-300,"POSSIBLE GOOSE. NOTAM WARNING. A/C WAS CLIMBING TO 3000 FT FOR  MISSED APPROACH ""GO AROUND"" WHEN PILOT FELT A VIBRATION AND  UNUSUAL ODOR ON FLT DECK. ALERT-II PROCEDURES WERE INITIATED; A/C  LANDED W/O INCIDET DAMAGE TO #1 ENG INTAKE COWLING",Approach,3/24/1997 0:00:00,OH,1500.0,135.0,Precautionary Landing,Overcast,UNKNOWN BIRD - LARGE,1
BLR,ATLANTIC COAST AIRLINES,CL-RJ100/200,NO DAMAGE. A/C INSPCTD BY COMPANY MAINT.,Approach,4/20/1998 0:00:00,DC,1500.0,170.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
TWA,TRANS WORLD AIRLINES,L-1011,NO DAMAGE. RED STAIN ON UNDERSIDE OF FUSELAGE. FLT 702.,Approach,10/6/1992 0:00:00,NY,100.0,135.0,None,,UNKNOWN BIRD,1
UFS,UFS-UNITED EXPRESS,BA-ATP,BLOOD FOUND UNDER L ENG NACELLE DURING POST FLT INSPN.,Approach,10/5/1996 0:00:00,IL,300.0,111.0,None,No Cloud,UNKNOWN BIRD,1
DAL,DELTA AIR LINES,MD-88,NO DAMAGE TO SHIP 3003. TIME = 1355 LCL. FLT 1476.,Approach,7/7/1997 0:00:00,KY,10.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-737,FLT 1163.,Climb,7/9/1997 0:00:00,IA,10.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
COA,CONTINENTAL AIRLINES,B-737,RETD TO LAND DUE TO A BIRD STRIKE TO #1 ENG. ARFF  RESPONDED & A/C TAXIED TO THE RAMP W/O INCID.   SEVERAL FAN  BLADES DAMAGED.,Climb,9/4/1997 0:00:00,NJ,400.0,170.0,Precautionary Landing,Some Cloud,GULLS,1
USA,US AIRWAYS,DC-9-30,"BIRD BLOOD & GUTS ON RADOME, NO DAMAGE.",Approach,2/7/1997 0:00:00,PA,50.0,313.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
DAL,DELTA AIR LINES,B-757-200,"HOLE IN FLAPS, BIRD'S HEAD IN HOLE, CARCASS HANGING OUT. BLOOD  STREAK FROM 2ND BIRD 2' AWAY.",Approach,3/11/1997 0:00:00,UT,300.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10
BUS,BUSINESS,PA-31 NAVAJO,DENT IN OUTBOARD LE OF WING. GOT FERRY PERMIT TO MOVE A/C. NOTAM  WARNING.,Approach,3/11/1997 0:00:00,NE,2300.0,180.0,None,No Cloud,CANADA GOOSE,1
DAL,DELTA AIR LINES,B-767-300,"ON BASE LEG A BIRD HIT WINDSHLD, NO DAMAGE. LANDED WAS NORMAL.",Approach,9/1/1997 0:00:00,CO,3000.0,200.0,None,Some Cloud,DUCKS,1
AAL,AMERICAN AIRLINES,B-757-200,"BIRD HIT CENTER OF CAPT'S WINDSHLD. CONSIDERABLE REMAINS, NO  APPARTNE DAMAGE. DISPATCH & ALLIANCE TECH NOTIFIED.",Climb,10/13/1997 0:00:00,TX,7400.0,250.0,None,No Cloud,UNKNOWN BIRD,1
UNK,UNKNOWN,BE-200 KING,HIT 2. NO DAMAGE. TIME = 0835 LCL.,Take-off run,9/15/1997 0:00:00,FL,0.0,120.0,None,,MOURNING DOVE,2-10
BUS,BUSINESS,C-207 SKYWAG,"18"" OPENING RIGHT WING OUT BOARD OF STRUCT, METAL PUSH BACK TO  FIRST SPAR.",En Route,3/25/1996 0:00:00,AZ,2500.0,105.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - LARGE,1
BUS,BUSINESS,LEARJET-35,,Landing Roll,5/13/1996 0:00:00,CA,0.0,130.0,None,Some Cloud,OWLS,1
ACA,AIR CANADA,A-320,"FLT 580, NO DAMAGE REPTD.",Landing Roll,5/13/1996 0:00:00,CO,0.0,105.0,None,,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,TIME = 1107PST,Landing Roll,3/23/1996 0:00:00,CA,0.0,105.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,NO DAMAGE OR INJURIES,Descent,5/25/1996 0:00:00,TX,6000.0,250.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,FK-100,"SAW 1 BIRD HIT F/O'S WINDSHLD, HEARD 1 HIT RADOME. MAINT. CHECKED  AT DFW. NO DAMAGE.",Climb,4/20/1997 0:00:00,TX,200.0,150.0,None,Overcast,UNKNOWN BIRD,2-10
BUS,BUSINESS,BE-200 KING,AT 2100E A/C STRUCK A DEER. NO ASSISTANCE REQD. MINOR DAMAGE TO  PROP. A/C RETD TO RAMP W/O INCIDENT.,Take-off run,10/27/1997 0:00:00,NJ,0.0,120.0,Aborted Take-off,,WHITE-TAILED DEER,1
UAL,UNITED AIRLINES,B-737,FLT 2630 STRUCK A SPARROW ON DEPTR AT 0723 PDT. CONTD FLT TO SFO.  NO REPTD DAMAGE.,Take-off run,7/17/1997 0:00:00,CA,0.0,120.0,None,,SPARROWS,1
USA,US AIRWAYS,B-737-400,EXTENT OF DAMAGE NOT REPTD.,Climb,10/7/1997 0:00:00,PA,200.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-300,HIT LE RT WING,Approach,3/7/1997 0:00:00,MO,4000.0,210.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,,Climb,3/8/1997 0:00:00,TX,20.0,160.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10
GAA,BUSINESS EXPRESS,BE-1900,FLT 363 STRUCK A BIRD AT 1635 EDT. BIRD STRUCK RT PITOT TUBE  CAUSING LOSS OF SOME INSTRUMENTATION. A/C RETD & LANDED AT 1643  W/O INCID.,Climb,10/1/1996 0:00:00,MA,200.0,150.0,Precautionary Landing,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,TIME = 02250Z.  HIT UNDER F/O WINDSHLD.  FLT 794,Approach,4/14/1997 0:00:00,AL,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
USA,US AIRWAYS,B-737-400,INGESTED SMALL BIRD. NO FLUCTUATIONS IN ENG INDICATIONS.,Take-off run,8/9/1997 0:00:00,TN,0.0,120.0,None,Overcast,UNKNOWN BIRD - SMALL,1
QXE,HORIZON AIR,DORNIER 328,NOT A STRIKE. FLT 563 ABORTED T/O. A FLOCK OF BIRDS WAS ON THE RWY. TIME =  2020LCL,Take-off run,8/5/1996 0:00:00,WA,0.0,120.0,Aborted Take-off,,UNKNOWN BIRD,1
BUS,BUSINESS,C-421,TIME = 0615 LCL,Take-off run,7/16/1997 0:00:00,KY,0.0,50.0,Aborted Take-off,No Cloud,GULLS,1
PVT,PRIVATELY OWNED,BE-58  BARON,"DURING LANDING ROLL, A SMALL HERD OF DEER RAN ACROSS RWY  DIRECTLY IN FRONT OF MY PLANE. ONE WAS STRUCK BY THE NOSE  WHEEL. THE DEER THEN BOUNCED AGAINST THE NOSE LINKS CAUSING IT TO  COLLAPSE. WITH THE NOSE ON THE GROUND, BOTH PROPS STRUCK THE  GROUND.",Landing Roll,7/23/1997 0:00:00,OK,0.0,70.0,Other,Some Cloud,WHITE-TAILED DEER,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-40,"CAPT'S WINDSHLD STRUCK. INSPCTD & CLEANED, NO DAMAGE FOUND.",Approach,10/29/1996 0:00:00,OH,300.0,135.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,A/C REG N527 (NOT ON COMPACT DISK OF N#s.),Take-off run,1/7/1996 0:00:00,,0.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
USA,US AIRWAYS,B-737-200,,Approach,4/21/1996 0:00:00,NC,50.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8-63,CAPT FOUND EVIDENCE OF BIRD STRIKE AT L WING OUTBD OF WING ROOT  LE. PERFORMED BIRD STRIKE INSPN. NO DAMAGE.,En Route,4/15/1997 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-777-200,FLT 0196. BIRD FLEW IN FRONT OF A/C & HIT CAPT'S WINDSHLD. BIRD  BECAME LODGED IN WINDSHLD WIPER. WINDSHLD WAS SMEARED WITH  REMAINS BUT A/C CONTD T/O. INCID REPTD TO MAINT & DISPATCH AT  KDEN.,Take-off run,3/1/1997 0:00:00,CA,0.0,140.0,None,,UNKNOWN BIRD,1
PVT,PRIVATELY OWNED,MOONEY-20B/C,"ON LANDING FLARE SAW MOVEMENT & ELK CAME OUT OF DARK ONTO APCH  END OF RWY. POWER UP STARTED GO AROUND, HIT ELK FROM ANOTHER  HERD W/ LANDING GEAR, POWER ON, SKIDDED DOWN RWY.  SUBSTANTIAL  DAMAGE.",Approach,7/8/1996 0:00:00,AZ,5.0,70.0,Other,Some Cloud,WAPITI (ELK),1
NWA,NORTHWEST AIRLINES,DC-9-30,,Take-off run,5/8/1997 0:00:00,DC,0.0,100.0,Aborted Take-off,Some Cloud,UNKNOWN BIRD - MEDIUM,1
MES,MESABA AIRLINES,SAAB-340,"TOP OF CLIMB, TRANSITION OF CRUISE, SAW SMALL GROUP OF BIRDS &  HIT 1. NO DAMAGE.",En Route,12/2/1997 0:00:00,OH,4000.0,200.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
FDX,FEDEX EXPRESS,A-300,TIME = 21149 LCL.,Climb,9/5/1997 0:00:00,NM,270.0,170.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - LARGE,1
AAL,AMERICAN AIRLINES,MD-80,FLT 1945.  TIME = 0750 LCL.  NO DAMAGE.,Take-off run,11/27/1996 0:00:00,VA,0.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
BUS,BUSINESS,C-182 SKYLAN,,Approach,6/4/1996 0:00:00,FL,50.0,75.0,None,Some Cloud,ROCK PIGEON,1
UPS,UPS AIRLINES,B-757-200,PART OF A/C STRUCK NOT REPTD. FLT 2682,Take-off run,10/3/1997 0:00:00,KY,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UNK,UNKNOWN,MD-88,TIME = 0720 LCL.,Take-off run,7/16/1996 0:00:00,FL,0.0,120.0,None,,CATTLE EGRET,1
UNK,UNKNOWN,C-402,NO DAMAGE. TIME = 1350 LCL.,Take-off run,7/28/1996 0:00:00,FL,0.0,120.0,None,,EGRETS,1
DAL,DELTA AIR LINES,MD-88,HIT 2 AT 1715LCL. NO DAMAGE.,Landing Roll,11/21/1992 0:00:00,FL,0.0,105.0,None,,SPARROWS,2-10
DAL,DELTA AIR LINES,UNKNOWN,DL1537. TIME = 2020LCL. NO DAMAGE.,Landing Roll,12/2/1992 0:00:00,FL,0.0,105.0,None,,GULLS,1
FDX,FEDEX EXPRESS,A-300,BIRD HIT A/C ~ 2' ABOVE R1 WINDOW. NO DAMAGE.,Climb,5/16/1997 0:00:00,TN,1300.0,170.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UNK,UNKNOWN,B-737-200,"DENTED LE HORIZ STABIL. (SIZE OF FOOTBALL). SOME BIRD REMAINS ON  SURFACE. INTERIM REPAIR, FERRIED TO PHL FOR REPAIR.",Approach,5/1/1996 0:00:00,OH,300.0,135.0,Other,,UNKNOWN BIRD,1
UNK,UNKNOWN,B-737-200,"DURING GATE REPOSITIONING, WITH ENGS RUNNING A BIRD WAS INGESTED  INTO #1 ENG DAMAGING A TURBINE BLADE. A/C WAS TAKEN OTS. FLT WAS  CANCELED.",Taxi,5/1/1996 0:00:00,PA,0.0,12.5,Other,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,"HAZY, 3 MI VIZ. NO DAMAGE.",Take-off run,8/8/1996 0:00:00,NY,0.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,B-757-200,DENTED ENG COWLING & WENT THRU ENG. A/C MUST BE FERRIED TO ATL  FOR REPAIR.,Approach,5/23/1997 0:00:00,MD,300.0,170.0,Other,No Cloud,RED-TAILED HAWK,1
GOV,GOVERNMENT,BE-58  BARON,,Approach,3/31/1997 0:00:00,IN,8.0,90.0,None,No Cloud,GULLS,1
BUS,BUSINESS,C-152,LT WING LE STRUCK. COMPANY MAINT IS LOOKING AT A/C. UNKN IF  DAMAGE.,Approach,12/12/1996 0:00:00,FL,10.0,50.0,None,Some Cloud,GULLS,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-120,"PILOT DID NOT SEE BIRD, JUST FEATHERS FROM BIRD STRIKING A/C",Landing Roll,7/3/1997 0:00:00,NY,0.0,105.0,None,No Cloud,KILLDEER,1
AAL,AMERICAN AIRLINES,MD-83,NO DAMAGE.,Landing Roll,7/4/1997 0:00:00,CA,0.0,110.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737-200,NO DAMAGE OR ADVERSE EFFECTS.,Approach,5/12/1998 0:00:00,TX,1000.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
ACA,AIR CANADA,A-320,"TIME = 1211 LCL. ATIS WARNING. FLT 735. A/C STRUCK 1 GULL, ABTD  T/O. POSSIBLE ENG DAMAGE. HOT BRAKES, 22 PAX UNLOADED ON TAXIWAY  TO VEHICLES.  A/C RETD TO GATE UNDER ITS OWN POWER.",Take-off run,11/25/1997 0:00:00,NJ,0.0,100.0,Aborted Take-off,Some Cloud,GULLS,1
CDL,CCAIR,DHC8 DASH 8,,Approach,3/24/1998 0:00:00,NC,4800.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-737,FLT 1815.,Landing Roll,9/7/1997 0:00:00,IA,0.0,105.0,None,,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-300,INGESTED SMALL BIRD IN #1 ENG SHORTLY AFTER GEAR RETRACTION.  SMELLED BURNING BIRD AFTERWARD. ALL ENGINE INDICATIONS NORMAL.  POST FLT INSPN BY A&P MECH REVEALED NO DAMAGE.,Climb,9/4/1997 0:00:00,CA,200.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAH*,ALOHA AIRLINES,B-737-200,"NO DAMAGE, JUST SMUDGE ON TOP OF L LE FLAPS. TIME = 0625 LCL. FLT  205.",Approach,2/3/1997 0:00:00,HI,10.0,135.0,None,No Cloud,OWLS,1
DAL,DELTA AIR LINES,B-757-200,,Approach,3/16/1997 0:00:00,FL,500.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,"FLT 5264. FLT DELAYED, NOT CANCELLED.",Take-off run,6/29/1997 0:00:00,LA,0.0,95.0,Aborted Take-off,Some Cloud,EUROPEAN STARLING,1
USA,US AIRWAYS,B-757-200,A/C HIT ROBIN SIZED BIRD ON FINAL. F/O'S SIDE WINDOW WAS HIT. NO  OBSERVABLE DAMAGE. TIME = 1408 LCL.,Approach,6/29/1997 0:00:00,NC,400.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
ASA,ALASKA AIRLINES,B-737-400,DEFLECTION OFF OF FUSELAGE ABOVE COCKPIT,Approach,5/22/1997 0:00:00,OR,400.0,135.0,None,Some Cloud,EUROPEAN STARLING,1
BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,"FLT 6599. I HEARD MAINT DEPT HAD TO PULL THE ENG AFTER IT FAILED  A BOROSCOPE TEST. EXTENT OF DAMAGE NOT REPTD, ASSUME SUBSTANTIAL.  ENG WAS REPLACED (FROM FROM CONV WITH SAFETY DEPT AT)",Approach,5/22/1997 0:00:00,DC,100.0,120.0,None,No Cloud,BLACKBIRDS,1
UPS,UPS AIRLINES,DC-8,,Landing Roll,7/3/1997 0:00:00,KY,0.0,105.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8-63,,En Route,9/5/1996 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,2-10
ASA,ALASKA AIRLINES,B-737-200,"IN LANDING FLARE, SAW 2 SMALL BIRDS VEERING TO RT. HEARD 1 THUMP.  ARPT MGR FOUND 1 DEAD BIRD IN T/D ZONE. NO DAMAGE, JUST SMEAR.",Landing Roll,9/5/1996 0:00:00,AK,0.0,125.0,None,Some Cloud,SHOREBIRDS,1
BAW,BRITISH AIRWAYS,B-747,TOWER OBSV FLAMES COMING FROM REAR OF #4 ENG WHILE A/C WAS ON  SHORT FINAL. A/C LANDED W/ ARFF RESPONDING & A/C TAXIED TO RAMP  W/O INCID. A BIRD MAY HAVE BEEN INGESTED. FLT 217. TIME = 1537  LCL,Approach,9/5/1996 0:00:00,DC,300.0,135.0,Other,,UNKNOWN BIRD,1
PHM,PETROLEUM HELICOPTERS,BELL-407,"NO DAMAGE. THOUGHT I MISSED BIRD, BUT FOUND BLOOD STREAKS &  FEATHERS ON ROTOR BLADE ROOTS & TAILBOOM.",En Route,2/4/1999 0:00:00,LA,700.0,120.0,None,Some Cloud,DUCKS,1
TRS,AIRTRAN AIRWAYS,DC-9-30,CHIP PAINT ON RADOME. ATIS WARNING.,Descent,9/10/1998 0:00:00,DC,4000.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),ATR-42,NO DAMAGE.,Descent,4/30/1997 0:00:00,TX,4400.0,210.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-757-200,FLT 865 REPTD BIRD STRIKE AS A/C DEPTD. NO DAMAGE REPTD. A/C  CONTD TO LAX.,Take-off run,7/2/1996 0:00:00,WA,0.0,120.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,C-414,NO DAMAGE.,Take-off run,9/14/1992 0:00:00,NY,0.0,145.0,Aborted Take-off,No Cloud,GULLS,1
BUS,BUSINESS,BE-90  KING,NO DAMAGE.,Landing Roll,8/6/1997 0:00:00,AR,0.0,80.0,None,No Cloud,HAWKS,1
AAL,AMERICAN AIRLINES,B-757-200,ALL EXTERIOR LIGHTS ON.,Descent,10/17/1995 0:00:00,NJ,4000.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PHM,PETROLEUM HELICOPTERS,BELL-206,REPLACED WINDSHLD ON LEFT SIDE.,En Route,2/15/1996 0:00:00,LA,500.0,115.0,Precautionary Landing,Overcast,UNKNOWN BIRD - SMALL,1
ASH,MESA AIRLINES,BE-1900,FLT 5411. LRG FLOCK BLACKBIRDS WERE ON THE GROUND & FLEW UP  INTO A/C ON FLARE.,Approach,4/29/1996 0:00:00,AR,25.0,115.0,None,No Cloud,BLACKBIRDS,2-10
UNK,UNKNOWN,UNKNOWN,TIME = 1200 LCL.,Climb,5/29/1997 0:00:00,IL,200.0,150.0,None,Overcast,EUROPEAN STARLING,1
BUS,BUSINESS,C-310,"PILOT SAW A DEER IN HIS LIGHTS DURING T/O. HE TRIED TO ROTATE ENOUGH TO MISS IT, BUT STRUCK IT W/ RT MAIN LANDING GEAR. THE  GREEN LIGHT WENT OUT ON THE LANDING GEAR & A.C WAS DIVERTED TO AN  ARPT W/ LONG RWYS.  DRAG BRACE ON RT GEAR WAS BENT & LANDING GEAR  WOULD NOT LOCK IN DOWN POSITION.",Take-off run,7/10/1990 0:00:00,OH,0.0,120.0,Precautionary Landing,Overcast,WHITE-TAILED DEER,1
PVT,PRIVATELY OWNED,PA-32,DAMAGE TO LE OF WING. RUPTURED FUEL TANK. EVASIVE ACTION TAKEN.,Climb,2/28/1997 0:00:00,FL,800.0,150.0,Precautionary Landing,,TURKEY VULTURE,1
NWA,NORTHWEST AIRLINES,B-747,"# BIRDS STRUCK NOT REPTD, ASSUME 1.",Take-off run,1/4/1998 0:00:00,IL,0.0,120.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,GULFSTRM II,RAIN. 8 BIRDS STRUCK. PILOT REPTD FLAP SYNCH PROBLEM  DURING FLIGHT. TWR INFORMED PILOT OF FAA FORM & WHO TO CONTACT  FOR FURTHER INFO. PILOT WARNED PRIOR TO DEPTR & WARNING IN ARPT  DIRECTORY.,Climb,4/9/1998 0:00:00,VA,50.0,90.0,Other,Some Cloud,GULLS,2-10
JIA,PSA AIRLINES,DORNIER 328,FLT 4124.,Approach,5/26/1999 0:00:00,SC,10.0,114.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BLR,ATLANTIC COAST AIRLINES,BA-41 JETSTR,HIT UPPER LEFT CORNER OF WINDSHLD MOLDING. NO DAMAGE. NO  FEATHERS. TIME OUT OF SVC 1/2 HR,Descent,8/4/1997 0:00:00,NH,4000.0,250.0,None,Some Cloud,BLACKBIRDS,1
BUS,BUSINESS,PA-28,TIME = 0938. PILOT WAS NOT WARNED BECAUSE BIRDS WERE NOT OBSVD BY  TWR.,Climb,7/31/1997 0:00:00,MN,100.0,90.0,Precautionary Landing,Some Cloud,CROWS,1
UPS,UPS AIRLINES,B-767-300,HIT 2. NO DAMAGE NOTED.,Descent,10/14/1998 0:00:00,IL,4000.0,210.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
SWA,SOUTHWEST AIRLINES,B-737-300,STRUCK SEVERAL SMALL BIRDS DURING FLARE AT 0954PDT. NO DAMAGE  REPTD. 1 BIRD FOUND. FLT 1046.,Approach,4/27/1997 0:00:00,CA,300.0,135.0,None,Some Cloud,DOVES,1
SDU,WESTAIR COMMUTER,EMB-120,NO DAMAGE,Landing Roll,4/27/1997 0:00:00,CA,0.0,110.0,None,Some Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-83,NO NOTED DAMAGE.,Climb,5/21/1997 0:00:00,TX,50.0,150.0,None,Overcast,MOURNING DOVE,1
USA,US AIRWAYS,DC-9-30,NO DAMAGE OR EFFECT ON FLT.,Climb,2/18/1997 0:00:00,PA,500.0,170.0,None,No Cloud,MOURNING DOVE,2-10
FDX,FEDEX EXPRESS,B-727,# OF BIRDS STRUCK NOT REPTD.,Landing Roll,7/31/1996 0:00:00,VA,0.0,105.0,None,Overcast,CANADA GOOSE,1
SWA,SOUTHWEST AIRLINES,B-737-300,FLT 1284,Approach,7/31/1996 0:00:00,AR,1300.0,150.0,None,Some Cloud,BARN SWALLOW,1
USA,US AIRWAYS,DC-9-30,BIG BROWN GULL. NO DAMAGE/INJURY.,Approach,7/31/1996 0:00:00,NY,100.0,140.0,None,Some Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-757-200,,Approach,11/7/1996 0:00:00,TX,5000.0,240.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
SDU,WESTAIR COMMUTER,BA-31 JETSTR,NO DAMAGE.,Take-off run,7/7/1997 0:00:00,CA,0.0,110.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
ABX,ABX AIR (was AIRBORNE EXPRESS),NAMC YS-11A,,En Route,5/29/1996 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,"STRUCK BIRD ON T/O, NO DAMAGE.",Climb,5/29/1996 0:00:00,AB,300.0,175.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ASA,ALASKA AIRLINES,MD-80,FLT 137 HIT UNKN # OF BIRDS ON APPCH TO RW 16R AT APPROX 100'  AGL. NO DAMAGE. LANDED 0338Z W/O INCIDENT.,Approach,5/29/1996 0:00:00,WA,100.0,135.0,None,,UNKNOWN BIRD,2-10
AAH*,ALOHA AIRLINES,B-737-200,"NO A/C DAMAGE.  TWO 5"" BIRD DEAD ON RWY.",Approach,6/23/1992 0:00:00,HI,40.0,100.0,None,No Cloud,SPARROWS,2-10
ASH,MESA AIRLINES,BE-1900,FLT 7483 ENRT FROM RIVERTON TO DENVER STRUCK A BIRD. DIVERTED TO  LARAMIE FOR A/C CHECK. LANDED W/O INCIDENT.,En Route,6/10/1997 0:00:00,,2500.0,130.0,Precautionary Landing,,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-737,"NO DAMAGE, STRUCK UPPER RT SIDE OF F/O WINDSHLD",Approach,5/12/1997 0:00:00,CT,1000.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-83,NO DAMAGE NOTICED. TIME = ABOUT 0920 LCL.,Climb,11/4/1997 0:00:00,,10.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,B-757-200,BIRD STRUCK F/O SIDE WINDOW DURING LIFT OFF.,Climb,2/8/1997 0:00:00,FL,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-200,GULL AND EGRET REPTD. NO DAMAGE. FLT 663. BIRD HIT L ENG. BUT WAS  NOT INGESTED. WAS STUCK ON ENG COWLING.  TIME = 1312 LCL,Landing Roll,12/16/1997 0:00:00,FL,0.0,110.0,None,No Cloud,EGRETS,1
QXE,HORIZON AIR,DHC8 DASH 8,"AFTER BIRD STRIKE, A/C WENT TO HANGAR FOR MAINT INSPN. EXTENT OF  DAMAGE NOT REPTD.",Taxi,12/17/1997 0:00:00,OR,0.0,12.5,Aborted Take-off,Overcast,RED-TAILED HAWK,1
BUS,BUSINESS,C-650,"BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.",Take-off run,10/28/1997 0:00:00,AL,0.0,80.0,Aborted Take-off,Some Cloud,MOURNING DOVE,1
BUS,BUSINESS,GULFAERO III,UNKN IF DAMAGE.,Landing Roll,2/9/1996 0:00:00,IL,0.0,105.0,None,No Cloud,RED-TAILED HAWK,1
AWE,AMERICA WEST AIRLINES,B-737,"FLT 897 FLT TO PHOENIX, RETD TO SMF AFTER STRIKING  BIRD ON RWY  34 & ENCOUNTERING A POSSIBLE #1 ENG FAILURE. LANDED SAFELY AT  0962 PST.",Climb,12/6/1997 0:00:00,CA,200.0,150.0,Precautionary Landing,,UNKNOWN BIRD,1
